issue-number,id,actor,event,commit_id,commit_url,created_at,total,additions,deletions
36184,2.99E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,72cd947f231950d7ecd1406b5a67388fef7133ea,https://api.github.com/repos/tensorflow/tensorflow/commits/72cd947f231950d7ecd1406b5a67388fef7133ea,2020-01-28T16:20:15Z,1,1,0
36177,3.00E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,2d1f922fa056f332a9a10ee4bce1af209542f719,https://api.github.com/repos/tensorflow/tensorflow/commits/2d1f922fa056f332a9a10ee4bce1af209542f719,2020-01-31T19:33:35Z,4,3,1
36177,3.02E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,337f2cda5990bc50c854b3968fa8b96f04e2cdb7,https://api.github.com/repos/tensorflow/tensorflow/commits/337f2cda5990bc50c854b3968fa8b96f04e2cdb7,2020-02-08T00:27:12Z,4,4,0
36067,2.96E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,0a57a64a022a180abf7a95584a9570e9f126c42e,https://api.github.com/repos/tensorflow/tensorflow/commits/0a57a64a022a180abf7a95584a9570e9f126c42e,2020-01-20T18:48:51Z,78,40,38
35980,2.99E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,75286a79e7cdf9fdc27b15919f453786eee8936d,https://api.github.com/repos/tensorflow/tensorflow/commits/75286a79e7cdf9fdc27b15919f453786eee8936d,2020-01-28T19:10:51Z,58,45,13
35883,2.98E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,f9e899854cc96db28564fa65f22d32a647268fc1,https://api.github.com/repos/tensorflow/tensorflow/commits/f9e899854cc96db28564fa65f22d32a647268fc1,2020-01-28T00:28:28Z,274,186,88
35874,3.03E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,ad526e38168afe1097191014a7ea045ee62bc767,https://api.github.com/repos/tensorflow/tensorflow/commits/ad526e38168afe1097191014a7ea045ee62bc767,2020-02-13T02:54:52Z,23,16,7
35874,3.05E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,a66d4828f39268ebb178cf579a36dc8e8b0f967d,https://api.github.com/repos/tensorflow/tensorflow/commits/a66d4828f39268ebb178cf579a36dc8e8b0f967d,2020-02-18T19:57:49Z,136,114,22
35817,2.98E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,f9e899854cc96db28564fa65f22d32a647268fc1,https://api.github.com/repos/tensorflow/tensorflow/commits/f9e899854cc96db28564fa65f22d32a647268fc1,2020-01-28T00:28:28Z,274,186,88
35765,2.96E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,8e3adf77b2a148fb2c6fea8fea2d0217bca3339f,https://api.github.com/repos/tensorflow/tensorflow/commits/8e3adf77b2a148fb2c6fea8fea2d0217bca3339f,2020-01-20T13:54:24Z,31,31,0
